donor	method	state	gene	fields	eligible	called	correct	allele_matches
HG00658	hprc_asian/sampled	complete	B	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	C	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	DPA1	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	DPB1	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	DQA1	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	DQB1	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	DRB1	2	1	1	1	2
HG00658	hprc_asian/sampled	complete	A	4	1	1	1	2
HG00658	hprc_asian/sampled	complete	B	4	1	1	1	2
HG00658	hprc_asian/sampled	complete	C	4	1	1	1	2
HG00658	hprc_asian/sampled	complete	DPA1	4	0	0	0	0
HG00658	hprc_asian/sampled	complete	DPB1	4	0	0	0	0
HG00658	hprc_asian/sampled	complete	DQA1	4	1	1	1	2
HG00658	hprc_asian/sampled	complete	DQB1	4	1	1	1	2
HG00658	hprc_asian/sampled	complete	DRB1	4	0	0	0	0
HG00658	hprc_asian/unsampled	complete	A	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	B	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	C	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DPB1	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DRB1	2	1	1	1	2
HG00658	hprc_asian/unsampled	complete	A	4	1	1	1	2
HG00658	hprc_asian/unsampled	complete	B	4	1	1	1	2
HG00658	hprc_asian/unsampled	complete	C	4	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DPA1	4	0	0	0	0
HG00658	hprc_asian/unsampled	complete	DPB1	4	0	0	0	0
HG00658	hprc_asian/unsampled	complete	DQA1	4	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2
HG00658	hprc_asian/unsampled	complete	DRB1	4	0	0	0	0
