donor	method	state
HG03453	hprc	complete
HG03453	hprc_asian	complete
HG03453	ipd_genome	complete
HG03453	genome_hprc	complete
HG03453	genome_hprc_asian	complete
HG03369	T1K	complete
HG03369	hprc	complete
HG03369	hprc_asian	complete
HG03369	ipd_genome	complete
HG03369	genome_hprc	complete
HG03369	genome_hprc_asian	complete
NA19159	T1K	complete
NA19159	hprc	complete
NA19159	hprc_asian	complete
NA19159	ipd_genome	complete
NA19159	genome_hprc	complete
NA19159	genome_hprc_asian	complete
HG02809	T1K	complete
HG02809	hprc	complete
HG02809	hprc_asian	complete
HG02809	ipd_genome	complete
HG02809	genome_hprc	complete
HG02809	genome_hprc_asian	complete
HG02145	T1K	complete
HG02145	hprc	complete
HG02145	hprc_asian	complete
HG02145	ipd_genome	complete
HG02145	genome_hprc	complete
HG02145	genome_hprc_asian	complete
NA19909	T1K	complete
NA19909	hprc	complete
NA19909	hprc_asian	complete
NA19909	ipd_genome	complete
NA19909	genome_hprc	complete
NA19909	genome_hprc_asian	complete
NA19338	T1K	complete
NA19338	hprc	complete
NA19338	hprc_asian	complete
NA19338	ipd_genome	complete
NA19338	genome_hprc	complete
NA19338	genome_hprc_asian	complete
HG03209	T1K	complete
HG03209	hprc	complete
HG03209	hprc_asian	complete
HG03209	ipd_genome	complete
HG03209	genome_hprc	complete
HG03209	genome_hprc_asian	complete
HG02976	T1K	complete
HG02976	hprc	complete
HG02976	hprc_asian	complete
HG02976	ipd_genome	complete
HG02976	genome_hprc	complete
HG02976	genome_hprc_asian	complete
NA18879	T1K	complete
NA18879	hprc	complete
NA18879	hprc_asian	complete
NA18879	ipd_genome	complete
NA18879	genome_hprc	complete
NA18879	genome_hprc_asian	complete
