donor	arm	locus	gene	level	picks	quality	truth_haplotypes	called	correct	allele_matches	sources
HG00706	full-ens	HLA-DRB345	DRB4	g_group	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB4	cds_exact	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB4	gene_exact	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB5	two_field	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB5	g_group	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB5	cds_exact	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	1	2	backbone,backbone
HG00706	full-ens	HLA-DRB345	DRB5	gene_exact	HG02155.1,HG02698.1	1.72	HG00706.1,HG00706.2	1	0	1	backbone,backbone
HG02027	full-ens	HLA-A	A	two_field	HG00597.1,HG00673.2	1.9	HG02027.1,HG02027.2	1	1	2	backbone,backbone
HG02027	full-ens	HLA-A	A	g_group	HG00597.1,HG00673.2	1.9	HG02027.1,HG02027.2	1	1	2	backbone,backbone
HG02027	full-ens	HLA-A	A	cds_exact	HG00597.1,HG00673.2	1.9	HG02027.1,HG02027.2	1	1	2	backbone,backbone
HG02027	full-ens	HLA-A	A	gene_exact	HG00597.1,HG00673.2	1.9	HG02027.1,HG02027.2	1	1	2	backbone,backbone
