stratum	universe	variant_class	endpoint	baseline	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
SAS	frozen_HPRC_sites	SV_length_site	all	old_full	20	13.19050991501417	12.74110776853654	13.64766244667911	20	0	0
SAS	frozen_HPRC_sites	SV_length_site	all	old_hprc	20	0.743626062322944	-0.17702248185519354	1.6283257902957229	12	0	8
SAS	frozen_HPRC_sites	SV_length_site	nonref	hprc	20	1.6088328075709812	0.06314875861610725	3.06826704674489	12	2	6
SAS	frozen_HPRC_sites	SV_length_site	nonref	old_full	20	11.892744479495276	10.955917127869139	12.81808592777547	20	0	0
SAS	frozen_HPRC_sites	SV_length_site	nonref	old_hprc	20	1.545741324921135	0.06432472424303198	2.9795287010100564	12	1	7
SAS	frozen_HPRC_sites	small_complex	all	hprc	20	0.1220350635957379	-0.08696255935440766	0.3545583510600042	9	0	11
SAS	frozen_HPRC_sites	small_complex	all	old_full	20	15.903403231350977	15.825654386908143	15.980275228611687	20	0	0
SAS	frozen_HPRC_sites	small_complex	all	old_hprc	20	0.12409762805087876	-0.08460506890750813	0.3532574098651564	9	0	11
SAS	frozen_HPRC_sites	small_complex	nonref	hprc	20	0.4291183568305046	-0.07975907696338518	0.984050249613427	11	0	9
SAS	frozen_HPRC_sites	small_complex	nonref	old_full	20	12.45441184475532	11.755907257768555	13.24240253774028	20	0	0
SAS	frozen_HPRC_sites	small_complex	nonref	old_hprc	20	0.4345617186507722	-0.06466974382274032	0.9765179858229196	13	1	6
SAS	frozen_HPRC_sites	truth_SV_length	all	hprc	20	2.059202059202059	0.45900136343628994	3.5578204341142903	14	1	5
SAS	frozen_HPRC_sites	truth_SV_length	all	old_full	20	7.91505791505791	6.862729808080435	9.042553191489356	20	0	0
SAS	frozen_HPRC_sites	truth_SV_length	all	old_hprc	20	1.8661518661518661	0.2638348840438756	3.348403807157634	14	1	5
SAS	frozen_HPRC_sites	truth_SV_length	nonref	hprc	20	2.059202059202059	0.45543266102797686	3.5067035787776533	14	1	5
SAS	frozen_HPRC_sites	truth_SV_length	nonref	old_full	20	7.91505791505791	6.858956564337032	9.030587328106918	20	0	0
SAS	frozen_HPRC_sites	truth_SV_length	nonref	old_hprc	20	1.8661518661518661	0.26177582446179876	3.3650793650793602	14	1	5
SAS	frozen_threeway_SNV	ALL	all	hprc	20	0.023321913865714805	-0.006053391715694634	0.05753910880736011	11	1	8
SAS	frozen_threeway_SNV	ALL	all	linear	20	0.18667455311243142	0.13033107731138138	0.24185949094252338	18	0	2
SAS	frozen_threeway_SNV	ALL	all	old_full	20	0.0016871171732657508	-0.00595314075289316	0.009432087337563897	10	0	10
SAS	frozen_threeway_SNV	ALL	all	old_hprc	20	0.023421156052383374	-0.005553077149084429	0.057209003647918644	11	0	9
SAS	frozen_threeway_SNV	ALL	nonref	hprc	20	0.09394964299135333	-0.020646485641993003	0.22290356712156703	13	0	7
SAS	frozen_threeway_SNV	ALL	nonref	linear	20	0.7052777850606873	0.47760701633034336	0.9262834203050441	17	0	3
SAS	frozen_threeway_SNV	ALL	nonref	old_full	20	0.017042028263547504	-0.0121355974113313	0.04630290391892499	11	2	7
SAS	frozen_threeway_SNV	ALL	nonref	old_hprc	20	0.09176476757295493	-0.023570647605049566	0.2189867914558377	13	0	7
SAS	frozen_threeway_SNV	SNV	all	hprc	20	0.023321913865714805	-0.006046483633853628	0.05732465523826585	11	1	8
SAS	frozen_threeway_SNV	SNV	all	linear	20	0.18667455311243142	0.1292433315980132	0.2417449392076318	18	0	2
SAS	frozen_threeway_SNV	SNV	all	old_full	20	0.0016871171732657508	-0.005859642591210523	0.009712468863533606	10	0	10
SAS	frozen_threeway_SNV	SNV	all	old_hprc	20	0.023421156052383374	-0.006049398748109169	0.056496322483672035	11	0	9
SAS	frozen_threeway_SNV	SNV	nonref	hprc	20	0.09394964299135333	-0.02084321626744656	0.22401298290282698	13	0	7
SAS	frozen_threeway_SNV	SNV	nonref	linear	20	0.7052777850606873	0.4746651586282813	0.9231347477493882	17	0	3
