donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG03804	AE-panel	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	AE-panel	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
NA18620	A-replay	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	A-replay	B	769	0	7394	8162	0	1	1	1	1	1	1	0
NA18620	A-replay	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	A-replay	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	A-replay	DPB1	4	0	22978	22978	0	4	1	1	1	1	1	1
NA18620	A-replay	DQA1	2437	0	12333	13005	1620	1614	1	1	1	1	1	1
NA18620	A-replay	DQB1	984	0	14464	15010	776	984	1	1	1	1	1	1
NA18620	A-replay	DRB1	8626	0	27046	21512	1284	7782	1	1	1	1	1	1
NA18620	A-fixed	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	A-fixed	B	768	1	7394	8162	0	0	1	1	1	1	1	0
NA18620	A-fixed	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	A-fixed	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	A-fixed	DPB1	44	0	22978	22978	0	44	1	1	1	1	1	1
NA18620	A-fixed	DQA1	2504	0	12333	13005	1620	1684	1	1	1	1	1	0
NA18620	A-fixed	DQB1	984	0	14464	15010	776	984	1	1	1	1	1	1
NA18620	A-fixed	DRB1	8610	0	27046	21512	1284	7774	1	1	1	1	1	1
NA18620	AE-ipd365	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	AE-ipd365	B	768	1	7394	8162	0	0	1	1	1	1	1	0
NA18620	AE-ipd365	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	AE-ipd365	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	AE-ipd365	DPB1	0	2	22978	22978	0	0	1	1	1	1	1	1
NA18620	AE-ipd365	DQA1	2504	0	12333	13005	1620	1684	1	1	1	1	1	0
NA18620	AE-ipd365	DQB1	982	0	14464	15010	776	982	1	1	1	1	1	1
NA18620	AE-ipd365	DRB1	8610	0	27046	21512	1284	7774	1	1	1	1	1	1
NA18620	AE-panel	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	AE-panel	B	768	1	7394	8162	0	0	1	1	1	1	1	0
NA18620	AE-panel	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	AE-panel	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	AE-panel	DPB1	0	2	22978	22978	0	0	1	1	1	1	1	1
NA18620	AE-panel	DQA1	2504	0	12333	13005	1620	1684	1	1	1	1	1	0
NA18620	AE-panel	DQB1	982	0	14464	15010	776	982	1	1	1	1	1	1
