donor	method	state
HG00240	T1K-four-field	complete
HG00240	full:DogoHLA	complete
HG00240	full:DogoHLA-no-graph	complete
HG00240	hprc:DogoHLA	complete
HG00240	hprc:DogoHLA-no-graph	complete
HG00240	asian_matched:DogoHLA	complete
HG00240	asian_matched:DogoHLA-no-graph	complete
HG00242	SpecHLA-IPD365-noFreq	complete
HG00242	T1K-four-field	complete
HG00242	full:DogoHLA	complete
HG00242	full:DogoHLA-no-graph	complete
HG00242	hprc:DogoHLA	complete
HG00242	hprc:DogoHLA-no-graph	complete
HG00242	asian_matched:DogoHLA	complete
HG00242	asian_matched:DogoHLA-no-graph	complete
HG00243	SpecHLA-IPD365-noFreq	complete
HG00243	T1K-four-field	complete
HG00243	full:DogoHLA	complete
HG00243	full:DogoHLA-no-graph	complete
HG00243	hprc:DogoHLA	complete
HG00243	hprc:DogoHLA-no-graph	complete
HG00243	asian_matched:DogoHLA	complete
HG00243	asian_matched:DogoHLA-no-graph	complete
HG00244	SpecHLA-IPD365-noFreq	complete
HG00244	T1K-four-field	complete
HG00244	full:DogoHLA	complete
HG00244	full:DogoHLA-no-graph	complete
HG00244	hprc:DogoHLA	complete
HG00244	hprc:DogoHLA-no-graph	complete
HG00244	asian_matched:DogoHLA	complete
HG00244	asian_matched:DogoHLA-no-graph	complete
HG00245	SpecHLA-IPD365-noFreq	complete
HG00245	T1K-four-field	complete
HG00245	full:DogoHLA	complete
HG00245	full:DogoHLA-no-graph	complete
HG00245	hprc:DogoHLA	complete
HG00245	hprc:DogoHLA-no-graph	complete
HG00245	asian_matched:DogoHLA	complete
HG00245	asian_matched:DogoHLA-no-graph	complete
HG00246	SpecHLA-IPD365-noFreq	complete
HG00246	T1K-four-field	complete
HG00246	full:DogoHLA	complete
HG00246	full:DogoHLA-no-graph	complete
HG00246	hprc:DogoHLA	complete
HG00246	hprc:DogoHLA-no-graph	complete
HG00246	asian_matched:DogoHLA	complete
HG00246	asian_matched:DogoHLA-no-graph	complete
HG00250	SpecHLA-IPD365-noFreq	complete
HG00250	T1K-four-field	complete
HG00250	full:DogoHLA	complete
HG00250	full:DogoHLA-no-graph	complete
HG00250	hprc:DogoHLA	complete
HG00250	hprc:DogoHLA-no-graph	complete
HG00250	asian_matched:DogoHLA	complete
HG00250	asian_matched:DogoHLA-no-graph	complete
HG00251	SpecHLA-IPD365-noFreq	complete
HG00251	T1K-four-field	complete
HG00251	full:DogoHLA	complete
HG00251	full:DogoHLA-no-graph	complete
HG00251	hprc:DogoHLA	complete
HG00251	hprc:DogoHLA-no-graph	complete
HG00251	asian_matched:DogoHLA	complete
HG00251	asian_matched:DogoHLA-no-graph	complete
HG00252	SpecHLA-IPD365-noFreq	complete
HG00252	T1K-four-field	complete
HG00252	full:DogoHLA	complete
HG00252	full:DogoHLA-no-graph	complete
HG00252	hprc:DogoHLA	complete
HG00252	hprc:DogoHLA-no-graph	complete
HG00252	asian_matched:DogoHLA	complete
HG00252	asian_matched:DogoHLA-no-graph	complete
HG00254	SpecHLA-IPD365-noFreq	complete
HG00254	T1K-four-field	complete
HG00254	full:DogoHLA	complete
HG00254	full:DogoHLA-no-graph	complete
HG00254	hprc:DogoHLA	complete
HG00254	hprc:DogoHLA-no-graph	complete
HG00254	asian_matched:DogoHLA	complete
HG00254	asian_matched:DogoHLA-no-graph	complete
HG00255	SpecHLA-IPD365-noFreq	complete
