donor	control	estimate	call	truth
NA20752	WHR1_unique_region	4.210371555341808	4	4
NA20752	TNXB_distal_region	4.158702477000324	4	4
NA20762	WHR1_unique_region	3.934567447285874	4	4
NA20762	TNXB_distal_region	4.013336376219251	4	4
NA20799	WHR1_unique_region	4.162561899956397	4	4
NA20799	TNXB_distal_region	4.116495155336609	4	4
NA20805	WHR1_unique_region	3.1893151799370156	3	3
NA20805	TNXB_distal_region	3.2442704126731257	3	3
NA20806	WHR1_unique_region	4.010394888133948	4	4
NA20806	TNXB_distal_region	4.0801978473476295	4	4
NA20809	WHR1_unique_region	4.136810988403231	4	4
NA20809	TNXB_distal_region	4.200954375117927	4	4
NA20827	WHR1_unique_region	2.818044267077707	3	3
NA20827	TNXB_distal_region	3.0230397415299444	3	3
NA20850	WHR1_unique_region	4.224479456105919	4	4
NA20850	TNXB_distal_region	4.065488446179221	4	4
NA20870	WHR1_unique_region	3.8818218144753707	4	4
NA20870	TNXB_distal_region	3.8639108156858724	4	4
NA20905	WHR1_unique_region	3.0424866771902743	3	3
NA20905	TNXB_distal_region	2.9810938756546745	3	3
NA21093	WHR1_unique_region	4.307315966812525	4	4
NA21093	TNXB_distal_region	4.050989777967939	4	4
NA21102	WHR1_unique_region	4.9849646113053305	5	5
NA21102	TNXB_distal_region	5.125128469995192	5	5
NA21106	WHR1_unique_region	3.83418413567276	4	4
NA21106	TNXB_distal_region	3.9287982335150615	4	4
NA21110	WHR1_unique_region	4.000568928270206	4	4
NA21110	TNXB_distal_region	3.8989612297635263	4	4
NA21144	WHR1_unique_region	3.9773709008536366	4	4
NA21144	TNXB_distal_region	3.973035611182035	4	4
