20636227_21|asian_locityper_HLA|COMPLETED|0:0|00:00:59|
20636227_21.batch|batch|COMPLETED|0:0|00:00:59|571736K
20636227_22|asian_locityper_HLA|COMPLETED|0:0|00:01:06|
20636227_22.batch|batch|COMPLETED|0:0|00:01:06|484984K
20636227_23|asian_locityper_HLA|COMPLETED|0:0|00:00:59|
20636227_23.batch|batch|COMPLETED|0:0|00:00:59|722556K
20636227_24|asian_locityper_HLA|COMPLETED|0:0|00:01:09|
20636227_24.batch|batch|COMPLETED|0:0|00:01:09|520056K
20636227_25|asian_locityper_HLA|COMPLETED|0:0|00:00:56|
20636227_25.batch|batch|COMPLETED|0:0|00:00:56|578928K
20636227_26|asian_locityper_HLA|COMPLETED|0:0|00:01:06|
20636227_26.batch|batch|COMPLETED|0:0|00:01:06|495996K
20636227_27|asian_locityper_HLA|COMPLETED|0:0|00:00:57|
20636227_27.batch|batch|COMPLETED|0:0|00:00:57|560032K
20636227_28|asian_locityper_HLA|COMPLETED|0:0|00:00:59|
20636227_28.batch|batch|COMPLETED|0:0|00:00:59|559588K
20636227_29|asian_locityper_HLA|COMPLETED|0:0|00:01:35|
20636227_29.batch|batch|COMPLETED|0:0|00:01:35|690920K
20636227_30|asian_locityper_HLA|COMPLETED|0:0|00:01:12|
20636227_30.batch|batch|COMPLETED|0:0|00:01:12|511672K
20636227_31|asian_locityper_HLA|COMPLETED|0:0|00:01:03|
20636227_31.batch|batch|COMPLETED|0:0|00:01:03|535436K
20636227_32|asian_locityper_HLA|COMPLETED|0:0|00:01:08|
20636227_32.batch|batch|COMPLETED|0:0|00:01:08|502088K
20636227_33|asian_locityper_HLA|COMPLETED|0:0|00:00:58|
20636227_33.batch|batch|COMPLETED|0:0|00:00:58|637884K
20636227_34|asian_locityper_HLA|COMPLETED|0:0|00:01:09|
20636227_34.batch|batch|COMPLETED|0:0|00:01:09|494320K
20636227_35|asian_locityper_HLA|COMPLETED|0:0|00:01:08|
20636227_35.batch|batch|COMPLETED|0:0|00:01:08|548520K
20636227_36|asian_locityper_HLA|COMPLETED|0:0|00:01:03|
20636227_36.batch|batch|COMPLETED|0:0|00:01:03|519552K
20636227_37|asian_locityper_HLA|COMPLETED|0:0|00:01:14|
20636227_37.batch|batch|COMPLETED|0:0|00:01:14|434188K
20636227_38|asian_locityper_HLA|COMPLETED|0:0|00:00:59|
20636227_38.batch|batch|COMPLETED|0:0|00:00:59|522992K
20636227_39|asian_locityper_HLA|COMPLETED|0:0|00:01:01|
20636227_39.batch|batch|COMPLETED|0:0|00:01:01|581852K
20636236|asian_named_HLA_score|COMPLETED|0:0|00:00:00|
20636236.batch|batch|COMPLETED|0:0|00:00:00|1772K
20636237|asian_named_HLA_archive|COMPLETED|0:0|00:00:01|
20636237.batch|batch|COMPLETED|0:0|00:00:01|2896K
