run_accession	sample_accession	sample_alias	instrument_platform	library_strategy	library_source	library_layout	fastq_ftp
SRR29399632	SAMN41227909	APR044	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/032/SRR29399632/SRR29399632_1.fastq.gz
SRR29399634	SAMN41227872	APR005	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/034/SRR29399634/SRR29399634_1.fastq.gz
SRR29399641	SAMN41227887	APR021	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/041/SRR29399641/SRR29399641_1.fastq.gz
SRR29399642	SAMN41227886	APR020	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/042/SRR29399642/SRR29399642_1.fastq.gz
SRR29399643	SAMN41227885	APR019	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/043/SRR29399643/SRR29399643_1.fastq.gz
SRR29399646	SAMN41227882	APR015	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/046/SRR29399646/SRR29399646_1.fastq.gz
SRR29399648	SAMN41227880	APR013	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/048/SRR29399648/SRR29399648_1.fastq.gz
SRR29399651	SAMN41227972	pbAPR-M	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/051/SRR29399651/SRR29399651_subreads.fastq.gz
SRR29399657	SAMN41227876	APR009	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/057/SRR29399657/SRR29399657_1.fastq.gz
SRR29411007	SAMN41832330	APR010	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/007/SRR29411007/SRR29411007_1.fastq.gz
SRR29411010	SAMN41832326	APR006	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/010/SRR29411010/SRR29411010_1.fastq.gz
SRR29411021	SAMN41832358	APR047	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/021/SRR29411021/SRR29411021_1.fastq.gz
SRR29411024	SAMN41832359	APR048	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/024/SRR29411024/SRR29411024_1.fastq.gz
SRR29411025	SAMN41832325	APR005	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/025/SRR29411025/SRR29411025_1.fastq.gz
SRR29411028	SAMN41832354	APR043	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/028/SRR29411028/SRR29411028_1.fastq.gz
SRR29411029	SAMN41832353	APR042	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/029/SRR29411029/SRR29411029_1.fastq.gz
SRR29411032	SAMN41832324	APR004	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/032/SRR29411032/SRR29411032_1.fastq.gz
SRR29411035	SAMN41832348	APR037	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/035/SRR29411035/SRR29411035_1.fastq.gz
SRR29411036	SAMN41832347	APR036	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/036/SRR29411036/SRR29411036_1.fastq.gz
SRR29411037	SAMN41832346	APR027	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/037/SRR29411037/SRR29411037_1.fastq.gz
SRR29411039	SAMN41832344	APR025	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/039/SRR29411039/SRR29411039_1.fastq.gz
SRR29411049	SAMN41832334	APR014	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/049/SRR29411049/SRR29411049_1.fastq.gz
SRR29411052	SAMN41832333	APR013	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/052/SRR29411052/SRR29411052_1.fastq.gz
SRR29411054	SAMN41832322	APR002	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/054/SRR29411054/SRR29411054_1.fastq.gz
